symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
AAPL,2020-11-10,115.550003,117.589996,114.129997,115.970001,115.970001,138023400.0,138023400.0,0.42,0.363,115.89666,November 10, 20,0.00363
AAPL,2020-11-09,120.5,121.989998,116.050003,116.32,116.32,154515300.0,154515300.0,-4.18,-3.469,118.12,November 09, 20,-0.03469
AAPL,2020-11-06,118.32,119.199997,116.129997,118.690002,118.690002,114457900.0,114457900.0,0.37,0.313,118.00667,November 06, 20,0.00313
AAPL,2020-11-05,117.949997,119.620003,116.870003,119.029999,118.824997,126387100.0,126387100.0,1.08,0.916,118.50667,November 05, 20,0.00916
AAPL,2020-11-04,114.139999,115.589996,112.349998,114.949997,114.752022,138235500.0,138235500.0,0.81,0.71,114.29666,November 04, 20,0.0071
AAPL,2020-11-03,109.660004,111.489998,108.730003,110.440002,110.249794,107624400.0,107624400.0,0.78,0.711,110.22,November 03, 20,0.00711
AAPL,2020-11-02,109.110001,110.68,107.32,108.769997,108.582664,122866900.0,122866900.0,-0.34,-0.312,108.92333,November 02, 20,-0.00312
AAPL,2020-10-30,111.059998,111.989998,107.720001,108.860001,108.672516,190272600.0,190272600.0,-2.2,-1.981,109.52333,October 30, 20,-0.01981
AAPL,2020-10-29,112.370003,116.93,112.199997,115.32,115.121384,146129200.0,146129200.0,2.95,2.625,114.81667,October 29, 20,0.02625
AAPL,2020-10-28,115.050003,115.43,111.099998,111.199997,111.008476,143937800.0,143937800.0,-3.85001,-3.346,112.57667,October 28, 20,-0.03346
AAPL,2020-10-27,115.489998,117.279999,114.540001,116.599998,116.399178,92276800.0,92276800.0,1.11,0.961,116.14,October 27, 20,0.00961
AAPL,2020-10-26,114.010002,116.550003,112.879997,115.050003,114.851852,111850700.0,111850700.0,1.04,0.912,114.82667,October 26, 20,0.00912
AAPL,2020-10-23,116.389999,116.550003,114.279999,115.040001,114.841873,82572600.0,82572600.0,-1.35,-1.16,115.29,October 23, 20,-0.0116
AAPL,2020-10-22,117.449997,118.040001,114.589996,115.75,115.550644,101988000.0,101988000.0,-1.7,-1.447,116.12667,October 22, 20,-0.01447
AAPL,2020-10-21,116.669998,118.709999,116.449997,116.870003,116.668724,89946000.0,89946000.0,0.2,0.171,117.34333,October 21, 20,0.00171
AAPL,2020-10-20,116.199997,118.980003,115.629997,117.510002,117.307617,124423700.0,124423700.0,1.31001,1.127,117.37333,October 20, 20,0.01127
AAPL,2020-10-19,119.959999,120.419998,115.660004,115.980003,115.780251,120639300.0,120639300.0,-3.98,-3.318,117.35334,October 19, 20,-0.03318
AAPL,2020-10-16,121.279999,121.550003,118.809998,119.019997,118.81501,115393800.0,115393800.0,-2.26,-1.863,119.79333,October 16, 20,-0.01863
AAPL,2020-10-15,118.720001,121.199997,118.150002,120.709999,120.502106,112559200.0,112559200.0,1.99,1.676,120.02,October 15, 20,0.01676
AAPL,2020-10-14,121.0,123.029999,119.620003,121.190002,120.981277,151062300.0,151062300.0,0.19,0.157,121.28,October 14, 20,0.00157
AAPL,2020-10-13,125.269997,125.389999,119.650002,121.099998,120.891434,262330500.0,262330500.0,-4.17,-3.329,122.04667,October 13, 20,-0.03329
AAPL,2020-10-12,120.059998,125.18,119.279999,124.400002,124.400002,240226800.0,240226800.0,4.34,3.615,122.95333,October 12, 20,0.03615
AAPL,2020-10-09,115.279999,117.0,114.919998,116.970001,116.970001,100506900.0,100506900.0,1.69,1.466,116.29667,October 09, 20,0.01466
AAPL,2020-10-08,116.25,116.400002,114.589996,114.970001,114.970001,83477200.0,83477200.0,-1.28,-1.101,115.32,October 08, 20,-0.01101
AAPL,2020-10-07,114.620003,115.550003,114.129997,115.080002,115.080002,96849000.0,96849000.0,0.46,0.401,114.92,October 07, 20,0.00401
AAPL,2020-10-06,115.699997,116.120003,112.25,113.160004,113.160004,161498200.0,161498200.0,-2.53999,-2.195,113.84334,October 06, 20,-0.02195
AAPL,2020-10-05,113.910004,116.650002,113.550003,116.5,116.5,106243800.0,106243800.0,2.59,2.274,115.56667,October 05, 20,0.02274
AAPL,2020-10-02,112.889999,115.370003,112.220001,113.019997,113.019997,144712000.0,144712000.0,0.13,0.115,113.53667,October 02, 20,0.00115
AAPL,2020-10-01,117.639999,117.720001,115.830002,116.790001,116.790001,116120400.0,116120400.0,-0.85,-0.723,116.78,October 01, 20,-0.00723
AAPL,2020-09-30,113.790001,117.260002,113.620003,115.809998,115.809998,142675200.0,142675200.0,2.02,1.775,115.56333,September 30, 20,0.01775
